image_id,relative_path,source_record,patient_group,start_second,duration_seconds,leads,split,source_url,source_doi,license,sha256,width,height,derivation
MITBIH-100-S01,train/MITBIH-100-S01.png,100,MITBIH-100,60,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,71a4920bf1379bdbc9b941fa1829b4c632e6af060439d1087472c54b112394fe,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S02,train/MITBIH-101-S02.png,101,MITBIH-101,120,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,61faf809e4d0b17991c4bd80c4aa6cc1928acdb489f026625c8e4f975e042429,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S03,train/MITBIH-101-S03.png,101,MITBIH-101,180,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,965187bf14068b848e2df093945682a89c64ff578cc5fa00397292e7b5cbeaa3,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S04,train/MITBIH-101-S04.png,101,MITBIH-101,240,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,687729f7342231b88313b9add33e9d3a771a27b55b293b10306454ecba54cb80,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S05,train/MITBIH-101-S05.png,101,MITBIH-101,300,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,25c71be941ec3fcf0c074b19d6c4dea0b4f71c732f36aac5297360bf4a276acd,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S06,train/MITBIH-101-S06.png,101,MITBIH-101,360,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,20200a20918e183d9de8339e72dad90320aa4a77c7185bdd5fbfeaa3be690078,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S07,train/MITBIH-101-S07.png,101,MITBIH-101,420,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,ef326b2cec111d13de22c4c46daedbc0ac548ec1abb14a891b67ccb94280da10,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S08,train/MITBIH-101-S08.png,101,MITBIH-101,480,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,ed74942cb596358844e65968814b734862246cb75c29b68e50578386e99a9286,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S09,train/MITBIH-101-S09.png,101,MITBIH-101,540,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,75d99defde92a17cbfb01d4cffb2fcbdaee7b9c8988099353e7401f2ad926112,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S10,train/MITBIH-101-S10.png,101,MITBIH-101,600,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,29e0dfbb5262b4ae4c1b6f7e2d40ad2bfef8556f362963f24087d4fbc948f288,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S01,train/MITBIH-102-S01.png,102,MITBIH-102,60,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,d6337bf23a39fb2c8225b05b198799b1c0b1aeff0d8079ce55e3c9df3a138ea6,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S02,train/MITBIH-102-S02.png,102,MITBIH-102,120,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,0acb4ff81d79dd7d8d69c35882d443f6d1dc57313c077e72aa6564e6b8e2fabc,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S03,train/MITBIH-102-S03.png,102,MITBIH-102,180,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,574fe2d14dfe2abb1ed7efac3a0e5b8d4c9461d23e2fd09df10edbd0186efb8c,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S04,train/MITBIH-102-S04.png,102,MITBIH-102,240,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,572682cc89a6a403252c7c57af15becf07d254e4a209b985505b2fb4dc342e50,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S05,train/MITBIH-102-S05.png,102,MITBIH-102,300,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,148c504d25d196ec8c0742471cfa42ef3466b2affbe339d520922265d2a6b8fe,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S06,train/MITBIH-102-S06.png,102,MITBIH-102,360,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,433bdeaf933d1b9197e31a961cd10bf8b43fd2047441404e0e320181a96dd599,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S07,train/MITBIH-102-S07.png,102,MITBIH-102,420,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,ae6812d28638c2ee592203226b35c07968198eb352cf3171a73e3933543d4fbe,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S08,train/MITBIH-102-S08.png,102,MITBIH-102,480,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,4467cd1794b83e9969ed6534bda2a04f9a81bebd0b0d9a26b9a7443d0021d469,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S09,train/MITBIH-102-S09.png,102,MITBIH-102,540,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,a596030752fa809ac9bb58e9dc9d1606d907b095a07acaa985dac3876ce17e31,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-102-S10,train/MITBIH-102-S10.png,102,MITBIH-102,600,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,c213a1dabea5e5eb91010e32df5969269d9462ab10153263cb432411b7a0d115,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S01,train/MITBIH-103-S01.png,103,MITBIH-103,60,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,0a0365f4315d2051cb94fbca6973097910187c399574fa71bca17de4237a5176,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S02,train/MITBIH-103-S02.png,103,MITBIH-103,120,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,d719a87120eb79c47eb6e6b6e0defd49e08b59c51b041fd5f404a6a75ff83d85,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S03,train/MITBIH-103-S03.png,103,MITBIH-103,180,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,3917098d52e47e30019abe37f0e59e1b8e593b1b89cf0b7b01d68a5120939666,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S04,train/MITBIH-103-S04.png,103,MITBIH-103,240,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,e825eac141359a71cecc3b12186a41f13a086b19cae2097011cbda4495398945,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S05,train/MITBIH-103-S05.png,103,MITBIH-103,300,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,8117b25d20aad6462aafd9b787c01b120c345961ff547b5d9d815ff7ca10c170,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S06,train/MITBIH-103-S06.png,103,MITBIH-103,360,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,8542c0495f03354a759d889dd881ae5bb04d7d537c7ed3484d9a528b669adf1a,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S07,train/MITBIH-103-S07.png,103,MITBIH-103,420,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,bd46885393370c2fd5d279bbe5b28410022014a1727859d0307a91e77fd56ef9,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S08,train/MITBIH-103-S08.png,103,MITBIH-103,480,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,cab55f78985ebc19cf473df703996e5d5f834ccfae3e9a21b61e6ff466ebabc3,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S09,train/MITBIH-103-S09.png,103,MITBIH-103,540,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,c901ed1c24883a4d121be711867f23d090eea95282fa369bcb236c88d8875608,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-103-S10,train/MITBIH-103-S10.png,103,MITBIH-103,600,10,MLII|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,d5c3af439642e759b129788b298aa125334d234c738d9ef68e26a765df856ae4,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S01,train/MITBIH-104-S01.png,104,MITBIH-104,60,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,87692a25934d3c385cb6359e6569ce4c0b9544964b5ecf05d1c3bf98b7105586,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S02,train/MITBIH-104-S02.png,104,MITBIH-104,120,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,8d13316aceadb253661142d954d5cf0276e9df17ba709bd20e3e120bb2bdd344,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S03,train/MITBIH-104-S03.png,104,MITBIH-104,180,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,1ea843cb7373e7599b331c1c154931c8a359a0a128e63bae023d2bdb109aac33,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S04,train/MITBIH-104-S04.png,104,MITBIH-104,240,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,a0ec04ae43c5b1b7b3a8eb0281cdf0dcc3142cc0a9c271ae927e06dae38dc856,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S05,train/MITBIH-104-S05.png,104,MITBIH-104,300,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,48cf74dfd57f494c9495d10f9180f5558a5f8ed8e1fb090625432adce4c84c58,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S06,train/MITBIH-104-S06.png,104,MITBIH-104,360,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,3681632f1a0009e5d0f78ffb5982bbbb432e7c9a4b90b2e03145f19cc472415f,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S07,train/MITBIH-104-S07.png,104,MITBIH-104,420,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,3f9fa93f48cc9b73b15b0f2c79db90239c5976d84cd29c85d43ba66482cdcab6,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S08,train/MITBIH-104-S08.png,104,MITBIH-104,480,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,9d6afee433c4ef0cbe24ae0f08b91b2eaf1ada9559784b17dc79f3306d817729,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S09,train/MITBIH-104-S09.png,104,MITBIH-104,540,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,88ff5b6268521895ff955de32079e91012c189b4a6118d33686650a1437a53c1,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-104-S10,train/MITBIH-104-S10.png,104,MITBIH-104,600,10,V5|V2,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,f7f996a6600bcdeed0bae869cfc44ce59ff2beb3c4b9cfc8e9598ecc8c221961,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S01,train/MITBIH-105-S01.png,105,MITBIH-105,60,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,0cf08702737cfd170bdfa8d9c33cb4480145b15742152ff52f38e5d97d0f3b59,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S02,train/MITBIH-105-S02.png,105,MITBIH-105,120,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,b95051d22023f928925c89955e1a8bf38d6b7efa7539565002972ac807deedb7,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S03,train/MITBIH-105-S03.png,105,MITBIH-105,180,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,326409d94306b94a87b3908202e49e57bf3451c391d344f0c9373974fe651da7,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S04,train/MITBIH-105-S04.png,105,MITBIH-105,240,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,6511a07378320e9cc60861033c9b3d08e0153a6d3fbb5e430cea95d3c8fe113b,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S05,train/MITBIH-105-S05.png,105,MITBIH-105,300,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,0f2970ffd539351be20595ac99f6bc51fa3f962576377b067bc136d52a13e6ea,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S06,train/MITBIH-105-S06.png,105,MITBIH-105,360,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,847c6b1de2b31db09a9ac84e647cd668616aa8b2800a183870f9ede01b04afe4,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S07,train/MITBIH-105-S07.png,105,MITBIH-105,420,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,9f48872b47bdcfec35af2abc7c3623f7225b1b56e3f054628b71baadbb471315,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S08,train/MITBIH-105-S08.png,105,MITBIH-105,480,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,137338b3df3db0ca00b78800bb215a884b0c87d8f8cdaedad221a1b0716c8179,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S09,train/MITBIH-105-S09.png,105,MITBIH-105,540,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,6b91d7cf324c2eff871fee5160b02ed82d79187efd50335c73991dbcbabe3e2f,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-105-S10,train/MITBIH-105-S10.png,105,MITBIH-105,600,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,81f8d4cc504a24fd6e7ef12bc40b2b44d3afc0a19b27534b213c706847b3895e,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S01,train/MITBIH-106-S01.png,106,MITBIH-106,60,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,81153b6d42645b29c850bb114511771fc5c104686b332c0a1d27f4f12e54e18e,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S02,train/MITBIH-106-S02.png,106,MITBIH-106,120,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,82db0992113361d6f31c31ac23eb7458c342de16dfd71f2cd97d302334eeed04,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S03,train/MITBIH-106-S03.png,106,MITBIH-106,180,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,02d8709ec342332909b155872de8ea4ac739868ab54f273cb2d8bf33b2d86b17,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S04,train/MITBIH-106-S04.png,106,MITBIH-106,240,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,233443cfe1df930c4a0137a4ff7bee23a7c4b392de679af3fbb63e52b68653f9,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S05,train/MITBIH-106-S05.png,106,MITBIH-106,300,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,e8e19a7a1b08dc85b8dc4431b69c4573099d3cf7a4fe8b8afa1545fb46b9f030,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S06,train/MITBIH-106-S06.png,106,MITBIH-106,360,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,58be3d97ad0cb79a5c623e7baf3d2bd1564d19754f155791d3e2e3473bd79533,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S07,train/MITBIH-106-S07.png,106,MITBIH-106,420,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,dad5f2b9d0d6266f2039e6654918d78d9a66ee87fc8cf329e4b420b95c462539,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S08,train/MITBIH-106-S08.png,106,MITBIH-106,480,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,9a54f8c0a3453f95785a10d1bd946ace24e376f6a66d73d6955d4f18e43866f6,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S09,train/MITBIH-106-S09.png,106,MITBIH-106,540,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,b2f5750378d4e873e5ee546fac90d50866056e542673e3458c77de5f33e284a6,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-106-S10,train/MITBIH-106-S10.png,106,MITBIH-106,600,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,d58f6f9b13428a28ef26813d90373a761d6b4fb405acaed6c82c778e85e33797,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-107-S01,validation/MITBIH-107-S01.png,107,MITBIH-107,60,10,MLII|V1,validation,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,b96136fc47839775df5237549b94736e7ee5245a3be97b544f8baef7d0d09b65,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-107-S02,validation/MITBIH-107-S02.png,107,MITBIH-107,120,10,MLII|V1,validation,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,7bbcd18d64ecd896458dc1da6e44513d4c3b0ad0f7c2aae4d50e0907466ac404,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-107-S03,validation/MITBIH-107-S03.png,107,MITBIH-107,180,10,MLII|V1,validation,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,9a7d54bf6848a0d3671d8982d9314cf8bc615dfa69457afe5b3dc65c20bcdd80,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-107-S04,validation/MITBIH-107-S04.png,107,MITBIH-107,240,10,MLII|V1,validation,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,2aee175faa0b695da43c44703789579b3ce8e12a84b91979765ad26b7d82e988,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
